St1_VL,St2_VL,St1_BF,St2_BF,St1_TA,St2_TA,St1_GAL,St2_GAL
-0.032521,0.020345,0.006491,0.001006,-0.00158,-0.062454,0.017078,-0.069949
-0.011267,0.012996,0.001754,-0.004952,0.00349,0.000993,0.003532,0.000844
0.007321,0.005617,2e-05,0.001446,0.013527,0.013655,0.009871,0.018723
0.013037,0.004759,0.000418,-0.000537,0.005645,-0.011495,0.001925,-0.002133
0.014024,-0.00217,-0.001141,0.003033,0.009849,0.052161,-0.005099,-0.000479
-0.013969,0.001997,0.001305,-0.003318,-0.010766,-0.059877,-0.007876,0.010163
0.004289,0.000261,0.000477,-0.000868,0.009551,-0.027531,-0.003104,-0.024033
-0.009218,0.010071,0.00207,0.003253,-0.233552,0.011262,-0.016145,-0.051859
0.004388,-0.025727,0.000547,-0.000337,0.757726,-0.024499,0.06371,0.016083
0.004942,-0.008979,0.000862,-0.002528,-0.051711,-0.032714,-0.015624,-0.044762
0.001841,-0.000692,-0.001542,-0.002338,0.027725,0.017302,-0.00581,-0.001246
0.00325,-0.001741,-0.002726,-0.004676,-0.029178,0.026137,-0.007773,0.019684
0.001783,0.008849,-0.0047,0.000838,-0.048354,0.035119,-0.029894,0.022133
0.005625,0.011783,-0.001038,0.004511,-0.035693,-0.003099,0.035132,0.047658
0.006976,-0.010113,0.00149,0.006154,-0.019323,-0.062867,0.006989,0.006512
0.054494,-0.013559,0.005521,-0.00337,-0.09969,-0.001914,-0.00594,0.00882
-0.064854,-0.01869,0.003064,-0.001291,-0.00065,0.005192,0.002918,-0.061244
-0.02028,0.014495,0.001894,0.005938,0.117386,0.035269,0.011382,0.003844
-0.001507,0.020482,0.001702,-0.004253,0.009546,-0.002198,0.015654,0.01487
0.053845,-0.006126,-0.004748,0.001173,0.004247,-0.028314,-0.003394,-0.000683
-0.03284,-0.004891,-0.000663,0.006718,0.006036,0.009427,-0.03136,0.023772
0.003632,0.00594,0.000772,-0.001258,0.004538,-0.026576,-0.007725,-0.010232
0.058955,0.006311,-0.001907,-0.002262,0.000885,0.022675,0.028145,-0.012297
0.001619,0.020454,2.4e-05,-0.002923,0.00068,0.048192,0.007725,0.013562
0.014337,-0.0201,0.001485,0.005373,0.003206,-0.03154,-0.001793,0.021028
-0.078574,0.004561,0.00699,-0.000464,-0.020245,-0.085068,-0.009281,-0.002784
-0.020238,-0.006077,-0.001268,-8.7e-05,-0.011566,-0.004019,-0.001419,-0.042941
0.02091,-0.003222,-0.004621,0.015391,-0.003048,0.024591,0.017185,-0.022765
0.009315,-0.001736,0.000246,-0.000477,-6e-05,0.002497,0.003809,-0.024654
-0.003265,-0.016858,0.011521,-0.000342,-0.000804,-0.001286,-0.031441,0.009836
